Date,Weight
2023-08-15,96.9
2023-08-16,94.7
2023-08-23,94.8
2023-09-05,95.0
2023-09-06,94.4
2023-09-07,94.3
2023-09-08,94.8
2023-09-09,94.6
2023-09-10,94.3
2023-09-11,95.1
2023-09-15,94.7
2023-09-17,95.5
2023-09-18,95.7
2023-09-22,95.0
2023-09-27,94.8
2024-03-01,104.2
2024-03-02,103.5
2024-03-03,102.9
2024-03-04,103.9
2024-03-05,103.2
2024-03-06,103.4
2024-03-07,103.0
2024-03-08,102.7
2024-03-09,102.5
2024-03-10,103.2
2024-03-11,103.4
2024-03-13,103.1
2024-03-14,103.3
2024-03-15,103.5
2024-03-16,102.4
2024-03-18,104.5
2024-03-19,103.6
2024-03-20,103.3
2024-03-21,102.7
2024-03-22,102.5
2024-03-23,102.1
2024-03-24,103.2
2024-03-25,103.6
2024-03-26,103.1
2024-03-27,102.9
2024-03-29,103.2
2024-03-30,103.6
2024-03-31,103.2
2024-04-03,103.7
2024-04-04,104.1
2024-04-05,103.6
2024-04-19,103.6
2024-04-20,103.2
2024-04-21,102.9
2024-04-22,103.2
2024-04-23,102.2
2024-04-25,102.6
2024-04-29,102.5
2024-04-30,101.5
2024-05-06,101.5
2024-05-07,101.5
2024-05-08,101.3
2024-05-10,101.3
2024-05-14,101.7
2024-05-15,101.3
2024-05-21,101.3
2024-05-29,102.1
2024-05-31,102.8
2024-06-03,102.0
2024-06-10,101.7
2024-08-08,102.0
2024-08-09,101.5
2024-08-10,101.3
2024-08-11,101.2
2024-08-12,100.9
2024-08-13,99.9
2024-08-14,100.2
2024-08-15,100.3
2024-08-16,99.7
2024-08-18,99.6
2024-08-19,99.6
2024-08-20,99.6
2024-08-21,99.2
2024-08-22,98.8
2024-08-23,98.8
2024-08-24,98.4
2024-08-25,99.7
2024-08-26,100.0
2024-08-27,99.5
2024-08-28,99.3
2024-08-29,98.6
2024-08-30,98.6
2024-08-31,98.0
2024-09-01,97.7
2024-09-02,97.6
2024-09-03,97.6
2024-09-04,97.5
2024-09-05,97.1
2024-09-06,98.0
2024-09-07,97.8
2024-09-08,97.1
2024-09-10,96.8
2024-09-11,96.8
2024-09-12,96.5
2024-09-13,96.8
2024-09-14,96.3
2024-09-16,97.2
2024-09-17,97.5
2024-09-18,97.3
2024-09-19,96.5
2024-09-20,96.6
2024-09-21,95.9
2024-09-23,96.7
2024-09-24,96.2
2024-09-25,95.8
2024-09-26,95.2
2024-09-27,95.7
2024-09-28,96.7
2024-09-29,95.9
2024-09-30,96.3
2024-10-01,95.4
2024-10-02,95.4
2024-10-03,95.0
2024-10-04,95.0
2024-10-07,94.6
2024-10-08,94.6
2024-10-09,94.6
2024-10-10,95.0
2024-10-15,94.3
2024-10-16,94.4
2024-10-17,94.0
2024-10-18,94.0
2024-10-19,93.7
2024-10-20,93.7
2024-10-21,93.4
2024-10-22,94.1
2024-10-23,93.1
2024-10-24,93.0
2024-10-25,93.4
2024-10-28,94.7
2024-10-29,93.2
2024-10-30,93.2
2024-10-31,93.4
2024-11-01,93.4
2024-11-02,93.7
2024-11-03,93.7
2024-11-04,93.6
2024-11-05,93.3
2024-11-06,93.5
2024-11-07,93.8
2024-11-08,92.8
2024-11-09,93.1
2024-11-12,92.9
2024-11-13,93.5
2024-11-14,93.2
2024-11-17,93.1
2024-11-18,93.8
2024-11-19,93.1
2024-11-20,93.5
2024-11-21,93.6
2024-12-10,93.1
2024-12-11,93.4
2024-12-12,93.4
2024-12-14,93.5
2024-12-15,92.8
2024-12-16,93.3
2024-12-17,94.0
2024-12-18,93.8
2024-12-19,94.5
2024-12-20,96.1
2024-12-21,94.3
2024-12-22,94.4
2024-12-23,94.8
2024-12-24,94.0
2024-12-25,93.9
2024-12-26,94.7
2024-12-27,95.1
2024-12-28,94.2
2024-12-29,95.6
2024-12-30,94.6
2024-12-31,94.7
2025-01-01,94.7
2025-01-02,96.1
2025-01-05,95.1
2025-01-07,95.3
2025-01-10,94.7
2025-01-11,94.4
2025-01-12,95.3
2025-01-14,94.7
2025-01-15,95.1
2025-01-17,94.6
2025-01-18,94.2
2025-01-19,93.6
2025-01-20,94.4
2025-01-21,94.4
2025-01-23,94.5
2025-01-24,94.2
2025-01-25,94.2
2025-01-26,93.4
2025-01-27,93.6
2025-01-28,93.9
2025-01-29,93.7
2025-01-30,93.7
2025-01-31,93.7
2025-02-01,93.0
2025-02-02,92.3
2025-02-03,92.9
2025-02-04,93.3
2025-02-05,93.9
2025-02-06,93.9
2025-02-07,94.2
2025-02-08,93.5
2025-02-09,93.1
2025-02-10,93.9
2025-02-11,94.1
2025-02-12,94.1
2025-02-13,93.8
2025-02-14,93.5
2025-02-15,93.3
2025-02-16,93.0
2025-02-17,93.0
2025-02-18,92.7
2025-02-19,93.0
2025-02-20,92.3
2025-02-21,92.2
2025-02-22,93.2
